YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 06 20 00 328  6.0  7.9  3.03 12.50  7.40 999 1042.4   5.5   5.1 999.0 99.0 99.00
2005 01 06 21 00 331  5.6  7.4  2.66 11.11  7.18 999 1042.0   5.5   5.1 999.0 99.0 99.00
2005 01 06 22 00 336  7.7  9.8  2.61 12.50  7.26 999 1041.5   5.6   5.1 999.0 99.0 99.00
2005 01 06 23 00 339  7.4  9.1  2.69 12.50  7.33 999 1041.2   5.6   5.1 999.0 99.0 99.00
2005 01 07 00 00 328  7.1  8.7  2.79 12.50  7.40 999 1040.7   5.6   5.1 999.0 99.0 99.00
2005 01 07 01 00 322  7.2  9.1  2.50 12.50  6.95 999 1039.8   5.6   5.1 999.0 99.0 99.00
2005 01 07 02 00 321  7.8  9.6  2.47 12.50  6.90 999 1039.6   5.5   5.1 999.0 99.0 99.00
2005 01 07 03 00 313  8.1  9.6  2.51 12.50  6.82 999 1039.3   5.5   5.1 999.0 99.0 99.00
2005 01 07 04 00 307  9.1 10.9  2.58 12.50  6.89 999 1038.6   5.5   5.1 999.0 99.0 99.00
2005 01 07 05 00 301  8.7 10.4  2.45 12.50  6.50 999 1037.6   5.6   5.1 999.0 99.0 99.00
2005 01 07 06 00 287  8.6 10.5  2.75 12.50  7.04 999 1037.5   5.3   5.1 999.0 99.0 99.00
2005 01 07 07 00 291  9.6 11.5  2.42 12.50  6.80 999 1036.2   5.6   5.1 999.0 99.0 99.00
2005 01 07 08 00 306  9.2 11.3  2.30 12.50  6.39 999 1035.9   5.6   5.1 999.0 99.0 99.00
2005 01 07 09 00 306  7.9 10.1  2.29 12.50  6.48 999 1036.0   5.6   5.1 999.0 99.0 99.00
2005 01 07 10 00 312  7.6  9.3  2.40 12.50  6.58 999 1035.2   5.5   5.1 999.0 99.0 99.00
2005 01 07 11 00 314  7.6  9.2  2.49 12.50  6.60 999 1034.2   5.5   5.1 999.0 99.0 99.00
2005 01 07 12 00 314  9.3 11.2  2.22 12.50  6.47 999 1033.1   5.6   5.1 999.0 99.0 99.00
2005 01 07 13 00 319  9.7 11.5  2.41 12.50  6.14 999 1032.6   5.6   5.1 999.0 99.0 99.00
2005 01 07 14 00 318  6.5  7.7  2.30 12.50  6.25 999 1032.2   5.6   5.1 999.0 99.0 99.00
2005 01 07 15 00 309  7.2  9.4  2.19 12.50  6.43 999 1031.4   5.6   5.1 999.0 99.0 99.00
2005 01 07 16 00 309  8.0  9.6  2.17 12.50  6.15 999 1030.5   5.6   5.1 999.0 99.0 99.00
2005 01 07 17 00 311  8.7 10.5  2.18 12.50  5.98 999 1029.6   5.6   5.1 999.0 99.0 99.00
2005 01 07 18 00 312  7.5  9.0  2.10 12.50  6.06 999 1028.9   5.6   5.1 999.0 99.0 99.00
2005 01 07 19 00 317  8.0  9.9  2.33 11.11  6.19 999 1028.3   5.5   5.1 999.0 99.0 99.00
2005 01 07 20 00 327  7.0  8.2  2.17 12.50  6.16 999 1027.8   5.6   5.1 999.0 99.0 99.00
2005 01 07 21 00 329  8.8 10.6  2.01  7.69  5.99 999 1027.2   5.5   5.1 999.0 99.0 99.00
2005 01 07 22 00 328  8.0  9.5  2.10 12.50  6.18 999 1026.2   5.6   5.1 999.0 99.0 99.00
2005 01 07 23 00 326  6.7  8.2  2.02 12.50  6.05 999 1025.8   5.6   5.1 999.0 99.0 99.00
2005 01 08 00 00 333  5.9  7.5  1.96 12.50  6.26 999 1025.3   5.8   5.1 999.0 99.0 99.00
2005 01 08 01 00 328  7.3  8.8  1.84 12.50  6.01 999 1024.5   5.9   5.1 999.0 99.0 99.00
2005 01 08 02 00 337  7.5  8.9  1.97 12.50  5.82 999 1024.3   5.8   5.1 999.0 99.0 99.00
2005 01 08 03 00 342  6.4  8.0  2.08 11.11  6.03 999 1024.2   5.9   5.1 999.0 99.0 99.00
2005 01 08 04 00 338  7.4  8.7  1.96 12.50  5.86 999 1023.6   6.0   5.1 999.0 99.0 99.00
2005 01 08 05 00 337  6.5  7.6  2.01 12.50  6.07 999 1023.0   5.9   5.1 999.0 99.0 99.00
2005 01 08 06 00 331  7.2  8.5  1.84  7.69  5.79 999 1022.7   5.8   5.1 999.0 99.0 99.00
2005 01 08 07 00 337  7.9  9.3  1.69 11.11  5.54 999 1022.1   6.2   5.1 999.0 99.0 99.00
2005 01 08 08 00 345  7.0  8.2  1.66  7.69  5.67 999 1022.0   6.2   5.1 999.0 99.0 99.00
2005 01 08 09 00 336  6.2  7.7  1.63 11.11  5.54 999 1021.7   5.8   5.1 999.0 99.0 99.00
2005 01 08 10 00 339  6.4  7.4  1.53 11.11  5.72 999 1021.4   5.8   5.1 999.0 99.0 99.00
2005 01 08 11 00 337  6.1  7.4  1.62  7.69  5.97 999 1021.1   5.8   5.1 999.0 99.0 99.00
2005 01 08 12 00 333  6.2  7.6  1.67  7.69  5.76 999 1020.9   5.6   5.1 999.0 99.0 99.00
2005 01 08 13 00 334  6.5  7.6  1.63  7.69  5.54 999 1021.0   5.5   5.1 999.0 99.0 99.00
2005 01 08 14 00 342  6.0  6.8  1.60  7.69  5.66 999 1020.7   5.5   5.1 999.0 99.0 99.00
2005 01 08 15 00 340  5.4  6.1  1.53  6.25  5.63 999 1020.5   5.6   5.1 999.0 99.0 99.00
2005 01 08 16 00 342  5.9  6.8  1.51  5.88  5.47 999 1020.4   5.7   5.1 999.0 99.0 99.00
2005 01 08 17 00 350  5.8  6.8  1.45  6.25  5.20 999 1020.3   5.6   5.1 999.0 99.0 99.00
2005 01 08 18 00 322  5.9  6.8  1.49 11.11  5.37 999 1020.4   5.6   5.1 999.0 99.0 99.00
2005 01 08 19 00 343  5.7  7.0  1.52  7.69  5.69 999 1021.0   5.6   5.1 999.0 99.0 99.00
2005 01 08 20 00 349  5.3  6.1  1.46  7.69  5.59 999 1021.0   5.8   5.1 999.0 99.0 99.00
2005 01 08 21 00  90  0.5  1.3  1.38  7.69  5.78 999 1021.1   5.8   5.1 999.0 99.0 99.00
2005 01 08 22 00   2  2.1  2.5  1.27  7.69  5.67 999 1021.1   5.8   5.1 999.0 99.0 99.00
2005 01 08 23 00  10  2.1  2.5  1.22  7.69  5.88 999 1021.1   5.6   5.1 999.0 99.0 99.00
2005 01 09 00 00 323  2.5  3.2  1.30  7.69  6.18 999 1021.2   5.5   5.1 999.0 99.0 99.00
2005 01 09 01 00 342  2.9  3.3  1.22  7.69  6.13 999 1021.8   5.5   5.1 999.0 99.0 99.00
2005 01 09 02 00 344  2.9  3.6  1.30  7.69  6.06 999 1022.0   5.2   5.1 999.0 99.0 99.00
2005 01 09 03 00 311  2.5  3.1  1.19  7.69  5.75 999 1022.0   5.5   5.1 999.0 99.0 99.00
2005 01 09 04 00 290  2.4  3.4  1.30  7.69  5.68 999 1022.1   5.2   5.1 999.0 99.0 99.00
2005 01 09 05 00 319  3.1  3.6  1.19  7.69  5.44 999 1022.0   5.2   5.1 999.0 99.0 99.00
2005 01 09 06 00 294  2.0  2.6  1.10  5.26  5.36 999 1022.1   5.1   5.1 999.0 99.0 99.00
2005 01 09 07 00 247  2.1  2.9  1.03  7.14  5.09 999 1022.5   5.1   5.1 999.0 99.0 99.00
2005 01 09 08 00 265  2.5  2.8  1.06  6.67  5.40 999 1022.6   5.1   5.1 999.0 99.0 99.00
2005 01 09 09 00 284  2.7  3.3  0.96  7.14  5.45 999 1022.7   5.1   5.1 999.0 99.0 99.00
2005 01 09 10 00 251  1.5  2.1  1.02  6.67  5.79 999 1023.4   5.1   5.1 999.0 99.0 99.00
2005 01 09 11 00 235  2.6  3.1  1.01  6.67  5.87 999 1022.7   4.8   5.1 999.0 99.0 99.00
2005 01 09 12 00 272  2.9  3.4  1.03  6.67  6.06 999 1022.7   4.8   5.1 999.0 99.0 99.00
2005 01 09 13 00 271  4.7  5.5  0.99  6.67  6.08 999 1022.7   4.8   5.1 999.0 99.0 99.00
2005 01 09 14 00 276  3.6  4.2  1.01  6.67  5.88 999 1022.6   4.8   5.1 999.0 99.0 99.00
2005 01 09 15 00 281  3.6  4.1  0.92  5.56  5.89 999 1022.5   5.0   5.1 999.0 99.0 99.00
2005 01 09 16 00 282  3.9  4.8  0.89  5.56  5.20 999 1022.5   5.1   5.1 999.0 99.0 99.00
2005 01 09 17 00 265  3.7  4.6  0.89  5.88  5.07 999 1022.0   5.2   5.1 999.0 99.0 99.00
2005 01 09 18 00 274  5.7  6.6  0.89 10.00  4.89 999 1021.9   5.5   5.1 999.0 99.0 99.00
2005 01 09 19 00 267  5.9  7.0  0.89  6.25  4.65 999 1021.9   5.5   5.1 999.0 99.0 99.00
2005 01 09 20 00 274  6.2  7.3  0.91 10.00  4.67 999 1022.0   5.6   5.1 999.0 99.0 99.00
2005 01 09 21 00 257  5.8  7.2  0.88 10.00  4.81 999 1021.9   5.6   5.1 999.0 99.0 99.00
2005 01 09 22 00 270  5.7  6.7  1.00 10.00  4.58 999 1021.9   5.6   5.1 999.0 99.0 99.00
2005 01 09 23 00 271  6.2  7.5  1.07 10.00  4.87 999 1021.0   5.5   5.1 999.0 99.0 99.00
2005 01 10 00 00 287  6.4  7.6  1.14 10.00  5.05 999 1021.0   5.5   5.1 999.0 99.0 99.00
2005 01 10 01 00 279  5.0  6.0  1.17 10.00  5.19 999 1020.9   5.2   5.1 999.0 99.0 99.00
2005 01 10 02 00 277  4.7  5.6  1.18 10.00  5.12 999 1021.0   5.1   5.1 999.0 99.0 99.00
2005 01 10 03 00 270  3.8  4.9  1.12  9.09  5.25 999 1020.7   5.1   5.1 999.0 99.0 99.00
2005 01 10 04 00 285  4.8  5.5  1.07 10.00  5.29 999 1020.4   5.1   5.1 999.0 99.0 99.00
2005 01 10 05 00 276  5.7  6.6  1.21 10.00  5.08 999 1020.4   5.4   5.1 999.0 99.0 99.00
2005 01 10 06 00 268  4.7  5.6  1.10  9.09  4.84 999 1020.3   5.2   5.1 999.0 99.0 99.00
2005 01 10 07 00 259  4.4  5.6  1.10  9.09  5.08 999 1020.3   5.1   5.1 999.0 99.0 99.00
2005 01 10 08 00 254  5.5  6.6  1.05  9.09  5.22 999 1019.6   5.1   5.1 999.0 99.0 99.00
2005 01 10 09 00 260  6.4  7.8  1.07  9.09  4.95 999 1019.3   4.8   5.1 999.0 99.0 99.00
